"","mc_region","region_name","state","mape","id","desc","date","qtt"
"126","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2010-06-01,691
"127","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2010-07-01,755
"128","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2010-08-01,648
"129","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2010-09-01,710
"130","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2010-10-01,687
"131","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2010-11-01,673
"132","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2010-12-01,736
"133","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2011-01-01,692
"134","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2011-02-01,685
"135","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2011-03-01,842
"136","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2011-04-01,794
"137","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2011-05-01,799
"138","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2011-06-01,716
"139","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2011-07-01,744
"140","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2011-08-01,711
"141","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2011-09-01,651
"142","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2011-10-01,652
"143","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2011-11-01,644
"144","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2011-12-01,691
"145","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2012-01-01,735
"146","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2012-02-01,688
"147","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2012-03-01,825
"148","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2012-04-01,777
"149","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2012-05-01,838
"150","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2012-06-01,761
"151","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2012-07-01,761
"152","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2012-08-01,768
"153","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2012-09-01,684
"154","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2012-10-01,780
"155","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2012-11-01,700
"156","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2012-12-01,697
"157","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2013-01-01,787
"158","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2013-02-01,737
"159","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2013-03-01,795
"160","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2013-04-01,836
"161","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2013-05-01,871
"162","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2013-06-01,768
"163","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2013-07-01,779
"164","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2013-08-01,788
"165","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2013-09-01,755
"166","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2013-10-01,770
"167","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2013-11-01,800
"168","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2013-12-01,723
"169","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2014-01-01,832
"170","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2014-02-01,826
"171","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2014-03-01,835
"172","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2014-04-01,875
"173","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2014-05-01,898
"174","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2014-06-01,847
"175","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2014-07-01,880
"176","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2014-08-01,772
"177","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2014-09-01,792
"178","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2014-10-01,857
"179","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2014-11-01,790
"180","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2014-12-01,814
"181","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2015-01-01,845
"182","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2015-02-01,818
"183","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2015-03-01,909
"184","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2015-04-01,866
"185","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2015-05-01,850
"186","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2015-06-01,769
"187","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2015-07-01,801
"188","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2015-08-01,829
"189","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2015-09-01,801
"190","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2015-10-01,775
"191","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2015-11-01,749
"192","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2015-12-01,835
"193","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2016-01-01,788
"194","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2016-02-01,823
"195","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2016-03-01,916
"196","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2016-04-01,844
"197","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2016-05-01,872
"198","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2016-06-01,869
"199","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2016-07-01,782
